Promo_type,Offer_ID,sku,start_date,end_date,train_test_group
Facades,F43,04630429b9c502992054f8bddecae2e3,20200312,20200318,train
Facades,F24,6890999241ce40fd5094e8a3adc28a96,20200206,20200212,train
Facades,F1,52c1ad10c1d5dce7a1ced348a6e293d9,20200102,20200108,train
Facades,F55,477f62a89b8fe27dcaceeccb0f65313e,20200402,20200408,train
Facades,F58,5142b4cc01aac312c3d5ba23cec3587e,20200409,20200415,train
Facades,F182,5f540f740ce6820a4586c65140575926,20201029,20201104,test
Biweekly,227,c10bb73d5484c2a68c9cbfb2cd79841f,20200514,20200527,train
Billboards,B88,85249fe8374a7267e5d3f1c63efae931,20201105,20201111,test
Facades,F6,c4ba03f77c18cf6c4b6feb3c562a240c,20200109,20200115,train
Biweekly,227,d3c9382f4256475c783a0ad837ae9c33,20200514,20200527,train
Seasonal,212,bb3e17cc3c55d7d669330cf7d45473cd,20200414,20200525,train
Seasonal,215,ecc22d5f268cc8d6fc1b29809f291558,20200414,20200525,train
Facades,F15,10c2798b4228298dc16f6fd3508a08a5,20200123,20200129,train
Facades,F45,10c2798b4228298dc16f6fd3508a08a5,20200319,20200325,train
Facades,F60,31dee460dd47434c42d6b41a490e320e,20200416,20200422,train
Biweekly,226,a5d6562b56251fe7891f9898428725ed,20200514,20200527,train
Seasonal,184,58f1c17a0a2f2fea7fda77c6d20ff2d3,20200413,20200525,train
Billboards,B83,7a2399522b3340f4313322ea1da6b932,20201015,20201028,test
Facades,F164,94e50bb3c768a677fe0c7f07047514ff,20201008,20201014,test
Billboards,B97,b3da9f6c20f5f7d304e19b6fc1d9cf60,20201126,20201209,test
Billboards,B15,452a845d0d1d57e27aa080fd7c952eea,20200213,20200219,train
Facades,F192,452a845d0d1d57e27aa080fd7c952eea,20201119,20201125,test
Billboards,B83,7bec7e5bd1e1c34eb742a406217298bd,20201015,20201028,test
Facades,F5,ee7b4204371eb76169edf0e00aeb6601,20200109,20200115,train
Facades,F9,3fecfa2a47fad82ae3b0191e2957e49a,20200116,20200122,train
Facades,F187,71583b8ebdef6ab21e9742a20712f595,20201112,20201118,test
Facades,F190,b7d803be530cac7fd33faf6c58cc896e,20201112,20201118,test
Seasonal,211,71583b8ebdef6ab21e9742a20712f595,20200414,20200525,train
Facades,F58,4ddf16b86e682d805156dc7859199cf2,20200409,20200415,train
Biweekly,218,de6164dc454999ac6306878c4be2d916,20200514,20200527,train
Seasonal,160,33f96129fa6694f8baecc4f0f6ac864a,20200512,20200601,train
Billboards,B88,c8360c69412cccd193751f246e3beb79,20201105,20201111,test
Billboards,B19,c8360c69412cccd193751f246e3beb79,20200220,20200226,train
Facades,F164,e1674dd0ab8e7009034d1c50cd4f6295,20201008,20201014,test
Facades,F19,57a0260f448b807e5a0c167a30b7cb87,20200130,20200205,train
Facades,F24,e400bbfbb7d52fb4d1f031fa3bba4d48,20200206,20200212,train
Facades,F50,f3f807ff0fe767b94827bc9d8367d324,20200326,20200401,train
Billboards,B88,e739a9618d7750560e08ac5335056f9a,20201105,20201111,test
Facades,F24,4b69677a4136e9d09bc70e41508714b7,20200206,20200212,train
Facades,F30,867b66971eeca54526571bd51ba3cc64,20200220,20200226,train
Facades,F190,bc333013918dc7c6c2f0a2ed1f697e36,20201112,20201118,test
Billboards,B23,d52c1bf9cdb668ca38893f69c866f358,20200305,20200318,train
Facades,F177,8a49cfcdf0d0fe12bb648903cafe5b3d,20201022,20201028,test
Facades,F201,d52c1bf9cdb668ca38893f69c866f358,20201203,20201209,test
Seasonal,186,4881d02adefd1dde2bfac063f67099fb,20200413,20200525,train
Billboards,B8,5203102c86af0924829cb4d79c7f160b,20200123,20200129,train
Facades,F12,5203102c86af0924829cb4d79c7f160b,20200116,20200122,train
Facades,F14,5203102c86af0924829cb4d79c7f160b,20200123,20200129,train
Facades,F1,a26c8fd82b39d3a724fca6ec72797f2d,20200102,20200108,train
Billboards,B9,f60629d62230f74b3da06198bc1de5bc,20200123,20200205,train
Billboards,B15,a82bafb7c49b928c59143082375db8d8,20200213,20200219,train
Facades,F161,a82bafb7c49b928c59143082375db8d8,20201008,20201014,test
Facades,F20,a82bafb7c49b928c59143082375db8d8,20200130,20200205,train
Facades,F20,c7c00895f9ab4566f1965b4284410401,20200130,20200205,train
Facades,F192,a82bafb7c49b928c59143082375db8d8,20201119,20201125,test
Biweekly,220,7e5c19ae012d0da24e43e2e8b20365aa,20200514,20200527,train
Facades,F176,a7f8f533c4f62b8220b6493fef3f5191,20201022,20201028,test
Facades,F9,00e1ce553fd1a099a579337c380cbcd9,20200116,20200122,train
Facades,F204,102c26a7c78d9263c6224aa1e7db3281,20201203,20201209,test
Seasonal,164,3d3bd2e63435a777b53852905a79d369,20200512,20200601,train
Billboards,B88,385636434b58e423f3c5332c9c8f2f53,20201105,20201111,test
Billboards,B99,adbd6e7788a186ee12210a19e04f93ea,20201126,20201202,test
Billboards,B14,adbd6e7788a186ee12210a19e04f93ea,20200206,20200219,train
Billboards,B17,62b7a81bd555ea9d83074b760622ffbd,20200220,20200304,train
Billboards,B27,adbd6e7788a186ee12210a19e04f93ea,20200319,20200401,train
Facades,F173,177771d988a5c6e08942f2311a959880,20201014,20201021,test
Facades,F182,9d7e3207c0db4c212d94c9ae7b141fc4,20201029,20201104,test
Billboards,B23,eef0b1c299d35755873f6ca819ff7fc8,20200305,20200318,train
Facades,F26,b178ad83d2ed46e4ca3b7d6bf3e50baa,20200213,20200219,train
Facades,F201,eef0b1c299d35755873f6ca819ff7fc8,20201203,20201209,test
Biweekly,226,a7044cd08b071aab4eedd500a2842afb,20200514,20200527,train
Facades,F15,ad076f341ba739100677e307d6cfc7a5,20200123,20200129,train
Facades,F19,43825c78998f89d4880c40712748087d,20200130,20200205,train
Facades,F3,b70fd58e3adc29607f894e3a107971d2,20200102,20200108,train
Facades,F42,15379b6862daf9a0d43c5f5253394343,20200312,20200318,train
Facades,F45,ad076f341ba739100677e307d6cfc7a5,20200319,20200325,train
Facades,F59,b681d12a69a449ada3ed4da2b8feee36,20200409,20200415,train
Seasonal,210,ad076f341ba739100677e307d6cfc7a5,20200414,20200525,train
Billboards,B13,2c04c192741b57a122ef8309515dc9fc,20200206,20200212,train
Billboards,B20,2c04c192741b57a122ef8309515dc9fc,20200227,20200303,train
Facades,F173,5738c0fdd472dcc60eac3539e0f754f1,20201014,20201021,test
Facades,F174,2c04c192741b57a122ef8309515dc9fc,20201015,20201021,test
Facades,F2,7ebc16e8426cc0843072bed6886ac63a,20200102,20200108,train
Facades,F42,754949ec6c6f3db2517a12ad236cd3fb,20200312,20200318,train
Facades,F48,2c04c192741b57a122ef8309515dc9fc,20200319,20200325,train
Facades,F191,7ebc16e8426cc0843072bed6886ac63a,20201112,20201118,test
Facades,F198,2c04c192741b57a122ef8309515dc9fc,20201126,20201202,test
Biweekly,224,7ebc16e8426cc0843072bed6886ac63a,20200514,20200527,train
Billboards,B88,f49b6e7660976b91d24a42d967386251,20201105,20201111,test
Billboards,B16,6737a0c37937e09f423010f529a0a014,20200213,20200219,train
Facades,F19,1a1e674c0f29ef48c864b1f63fb289b0,20200130,20200205,train
Billboards,B88,1226686b227a034c4a5e94cb5a7ef025,20201105,20201111,test
Facades,F177,9c819414d7eb0c9ff4c4024fc23f89aa,20201022,20201028,test
Facades,F183,a7a5d6d86b95749c67e283b6ce4b65a1,20201029,20201104,test
Facades,F183,847530d4754f8f639362ba010381173e,20201029,20201104,test
Seasonal,160,1eff2f0e69f76604c5acf25cc924cdb8,20200512,20200601,train
Facades,F195,0de2d4c7997862a3cb3fa23409a0171e,20201119,20201125,test
Billboards,B25,e6f102c38839e57d48872df6cc83a99c,20200319,20200401,train
Facades,F17,04a2f2198c4a03d05a9f81482c7314c1,20200130,20200205,train
Facades,F18,3480e7bc9963662b70955410d0b90e63,20200130,20200205,train
Facades,F190,bb25990f9802da502ad1b96a917980ba,20201112,20201118,test
Facades,F197,04a2f2198c4a03d05a9f81482c7314c1,20201126,20201202,test
Billboards,B96,809d23e88d028dd634f8b55677cb13e1,20201203,20201209,test
Billboards,B25,ba3120ecf23744c3a9485523603b34ff,20200319,20200401,train
Facades,F23,6b046ae5ddceb4ca2dca623fbc9011cf,20200206,20200212,train
Facades,F53,6b046ae5ddceb4ca2dca623fbc9011cf,20200402,20200408,train
Facades,F182,bc412216bd43cf3aa07a3af843608f83,20201029,20201104,test
Facades,F18,7ab310e77580ab2cd165e785b79c20d2,20200130,20200205,train
Facades,F19,92341d057566fa631baf5b1f4ca69260,20200130,20200205,train
Facades,F191,603b2100661dbc60413559293ab6aeb2,20201112,20201118,test
Billboards,B26,8f45da1793eddb795ea04f945b54c598,20200319,20200401,train
Facades,F173,a11b6eedc5a15ea3e8eff2aaba20d56a,20201014,20201021,test
Facades,F26,bc169501599f610c529db4962942d80d,20200213,20200219,train
Facades,F27,8f45da1793eddb795ea04f945b54c598,20200213,20200219,train
Biweekly,223,8f45da1793eddb795ea04f945b54c598,20200514,20200527,train
Seasonal,185,3362de16da10d5054ebbc7340012fb78,20200413,20200525,train
Seasonal,160,5fc35001155d5205038dac8905d29169,20200512,20200601,train
Billboards,B86,dc9fbafefbf4ca93e8462893eefae8be,20201029,20201111,test
Facades,F163,d79b2351c2dc002a54fce57d56fbb990,20201008,20201014,test
Facades,F26,bc5f3166f87117e513a68ba6bad1d2da,20200213,20200219,train
Facades,F9,fb8aaf72e1a286cdaad6c07c96aae4bb,20200116,20200122,train
Facades,F58,ff293d986e396cffbe9f1360430a8c37,20200409,20200415,train
Biweekly,219,dc9fbafefbf4ca93e8462893eefae8be,20200514,20200527,train
Billboards,B17,ab55ec417ee8432d08e8e5b08b1b4f9d,20200220,20200304,train
Facades,F50,97b1a9e9ab500b6ba2fedcbae2f2076d,20200326,20200401,train
Facades,F50,fe1d8a29a7ed76cd79f0a520ed18e0e6,20200326,20200401,train
Billboards,B86,5224aede7e1bb50b74d0d1ee052a535d,20201029,20201111,test
Facades,F182,b3111a2354eecd1601f32289653eeb2f,20201029,20201104,test
Biweekly,219,5224aede7e1bb50b74d0d1ee052a535d,20200514,20200527,train
Facades,F187,ef72b3b0e0f721ee4c9b5d46335ed8f2,20201112,20201118,test
Seasonal,211,ef72b3b0e0f721ee4c9b5d46335ed8f2,20200414,20200525,train
Facades,F2,af256c246c3d627cab9c3af7ba9acb99,20200102,20200108,train
Facades,F191,af256c246c3d627cab9c3af7ba9acb99,20201112,20201118,test
Biweekly,223,eb13ff9b6fa6268940535020d035745a,20200514,20200527,train
Biweekly,224,af256c246c3d627cab9c3af7ba9acb99,20200514,20200527,train
Billboards,B88,7497f7f0cc66d499d726b9570f28225c,20201105,20201111,test
Billboards,B9,ca4f88d894a2f7f32d0158d563da8f44,20200123,20200205,train
Facades,F10,845695fd9eb9f68b064cb0b0ccf39cc2,20200116,20200122,train
Facades,F50,524b21fa2138ed978f30d1d45c777269,20200326,20200401,train
Facades,F194,291e8a02e75579d2c8a701237a0af265,20201119,20201125,test
Billboards,B2,5c1af705688aa47bc298ffd7c30b0f82,20191226,20200108,train
Billboards,B9,d3b7289bb8a423d0991ce412d323e496,20200123,20200205,train
Billboards,B9,f7de650aa0c5f3d1f6fdc7656fc54b6f,20200123,20200205,train
Seasonal,214,5c1af705688aa47bc298ffd7c30b0f82,20200414,20200525,train
Billboards,B86,09a01e9c1df1d100607434aab928bc9b,20201029,20201111,test
Billboards,B9,f278a5f1273f1b800c8f05bf86265c3a,20200123,20200205,train
Billboards,B17,b25204c95b73f808160513723bc7706f,20200220,20200304,train
Billboards,B28,a3468b040cb097a4c09ebac6e5b52a13,20200402,20200415,train
Facades,F13,225dd7b34e889eda188014189519fcb1,20200123,20200129,train
Facades,F6,6f00f1c7f2bedc87c507ebe3e7bb4ece,20200109,20200115,train
Biweekly,219,09a01e9c1df1d100607434aab928bc9b,20200514,20200527,train
Seasonal,183,99f1e32f6e130ee5f95c101ab30b6f1c,20200413,20200525,train
Facades,F1,7537fe25772b8bfad5689d518625b891,20200102,20200108,train
Biweekly,227,6473ff98ee2d46bd86ad9d0145173e18,20200514,20200527,train
Biweekly,227,310bd68d26d1d39e76838cf907c79317,20200514,20200527,train
Billboards,B15,f2a5b364082b4caedf9cb001e71d8e73,20200213,20200219,train
Facades,F20,f2a5b364082b4caedf9cb001e71d8e73,20200130,20200205,train
Facades,F5,edbe917ef00874205ad893c3931ea9e0,20200109,20200115,train
Facades,F193,f9c44102adbd092d3300d192dfb20b95,20201119,20201125,test
Biweekly,220,3ee6d2e2f9dffae0dbd48b0593e864f9,20200514,20200527,train
Facades,F26,aa4dfbef8de268ea041b073c0b06c460,20200213,20200219,train
Facades,F5,5eebb9f444066e2e89f1abb893292eaa,20200109,20200115,train
Facades,F9,fef1c201e09f22a3176c6bbad6a5c827,20200116,20200122,train
Facades,F55,60643441332485aca03222b1cd8f462e,20200402,20200408,train
Facades,F185,5e25bc58e23aad9496ffc0b4ad82c35b,20201105,20201111,test
Billboards,B97,889d2d18fc48d711a93ea64da167e15d,20201126,20201209,test
Billboards,B20,71ccd2a9c34c6bfea0ad6a84dd9d967c,20200227,20200303,train
Facades,F6,d184058ae84e156023d273b4ea9b1aa8,20200109,20200115,train
Facades,F182,c9ab0323bd5c76490d1a6968b5ff2b68,20201029,20201104,test
Facades,F182,b59c5ba05de43fda41081c8ec70fd7af,20201029,20201104,test
Facades,F186,d42e3b1bc81f6cca82e167362f4ff04d,20201105,20201111,test
Facades,F199,34f059e35632a45c9752a2636ee39f50,20201126,20201202,test
Biweekly,221,34f059e35632a45c9752a2636ee39f50,20200514,20200527,train
Billboards,B21,90b30ece93cc7dc0f80aa52d3c38397f,20200305,20200308,train
Facades,F14,19fd6ebb2b18e59b255c5b867115f33a,20200123,20200129,train
Facades,F15,df61ac05dd83388e5b5c766cf4fcb312,20200123,20200129,train
Facades,F21,19fd6ebb2b18e59b255c5b867115f33a,20200206,20200212,train
Facades,F45,df61ac05dd83388e5b5c766cf4fcb312,20200319,20200325,train
Seasonal,164,cae78c8127978f5d22f68bcec60f22c6,20200512,20200601,train
Billboards,B25,d72350e7ea412a917e93eef4cd95ca57,20200319,20200401,train
Facades,F1,d381493e6e4ad7f026f383cf55bbb18d,20200102,20200108,train
Facades,F50,e748a458f7ef93ca6147926fc3c7c262,20200326,20200401,train
Billboards,B88,82b17e4af2252386c1cb4cf217d070e7,20201105,20201111,test
Billboards,B2,4c2cba040cc2b5e12586a5c94bf8a36a,20191226,20200108,train
Facades,F26,3dccf48e3bb5c393c5c8c7d479b8395b,20200213,20200219,train
Facades,F1,8ce96f975fabfd21c938034b4e33ef38,20200102,20200108,train
Facades,F46,add05408b102e45cb04451b7deda8281,20200319,20200325,train
Facades,F187,3875f6b1bd0822f357f0ad74bcd4b1ce,20201112,20201118,test
Seasonal,214,4c2cba040cc2b5e12586a5c94bf8a36a,20200414,20200525,train
Seasonal,211,3875f6b1bd0822f357f0ad74bcd4b1ce,20200414,20200525,train
Billboards,B88,52c1851559ea917baae32fdba57b7a89,20201105,20201111,test
Facades,F161,5dde0ea66382290b688f82e012bdfaaa,20201008,20201014,test
Facades,F162,e79fa14133c71d5a5bc8cfcd215fec9a,20201008,20201014,test
Facades,F13,c1e7b463a5946f41340e88c04332b9b3,20200123,20200129,train
Facades,F20,5dde0ea66382290b688f82e012bdfaaa,20200130,20200205,train
Facades,F49,6bec5126cb524edad3f071809c1e7d48,20200326,20200401,train
Facades,F52,739ec4ce4857ad39cbcd8931d3d719fc,20200326,20200401,train
Facades,F196,4af700a32c0d03e72a2415fa2a64bc34,20201126,20201202,test
Billboards,B83,5bf1bdb4543e960dc07d6cef5bb368f8,20201015,20201028,test
Billboards,B94,bae9ea594011bff17921ec55bc89825d,20201112,20201118,test
Facades,F164,7bf6e21da48fd9c5674ffe9eb26d3668,20201008,20201014,test
Facades,F58,1b9eed54f154879432e79f06c2edc6ba,20200409,20200415,train
Facades,F182,c2383223bb6993d02782a62d5f2878e3,20201029,20201104,test
Facades,F26,e015fab8b16757eacf67128138d35569,20200213,20200219,train
Facades,F9,2043c0323872e12c14890f980f4de5db,20200116,20200122,train
Facades,F46,e4bd3a7f3ab343d084cf7670dbc5350c,20200319,20200325,train
Facades,F49,0ad7a77f364b3297dc3cb6ed6777c1d6,20200326,20200401,train
Billboards,B83,71722f964c1d84a169227d92a0044432,20201015,20201028,test
Billboards,B88,155cb58ad436b2b1d03fb163cf01014f,20201105,20201111,test
Billboards,B25,13cd76fc8f5230dbe80c239279f94a5d,20200319,20200401,train
Facades,F26,ddeb01bce36693b6f1d3bfec12c8b1e5,20200213,20200219,train
Facades,F50,15d471c031afc51602c31be5286fd548,20200326,20200401,train
Seasonal,184,2ef0612b694ace49b73e6eb43d5d4081,20200413,20200525,train
Seasonal,209,55f11dd13f0a6c21346a4194f7eec00a,20200414,20200525,train
Facades,F26,9d34169d44a6dbbd3f00f6a734805a5f,20200213,20200219,train
Facades,F2,ae244f90aae0d2738656127ca955ae8b,20200102,20200108,train
Facades,F191,ae244f90aae0d2738656127ca955ae8b,20201112,20201118,test
Biweekly,217,190bfdc20ef1ee65434cf2357dbac4c0,20200514,20200527,train
Biweekly,224,ae244f90aae0d2738656127ca955ae8b,20200514,20200527,train
Billboards,B86,0bc70616f5f01dd6c642aa3d92b479d5,20201029,20201111,test
Billboards,B86,de8fb3ddc4d861d9c0dc8af7a8ca5032,20201029,20201111,test
Facades,F10,3721487295c6ea90a989dafafeb0b054,20200116,20200122,train
Facades,F26,652832505970c306c01774f74b0a92de,20200213,20200219,train
Facades,F26,cf7b6210471e7ceb441878b7807679ee,20200213,20200219,train
Facades,F50,d3ed4a654df2df481e2fda38532b0f67,20200326,20200401,train
Facades,F56,50d8b10c45f9253f2e3204f6fad0bbae,20200409,20200415,train
Biweekly,219,0bc70616f5f01dd6c642aa3d92b479d5,20200514,20200527,train
Biweekly,219,de8fb3ddc4d861d9c0dc8af7a8ca5032,20200514,20200527,train
Seasonal,160,267a23aa256bfd1fd5bee36ac8a51997,20200512,20200601,train
Billboards,B25,6b1be59629c219ab31cf27c7b38e8c06,20200319,20200401,train
Facades,F20,164d4c619c3a6397e697de81a23bfb58,20200130,20200205,train
Billboards,B26,42e60c523e459e862e0d8bed8e27c061,20200319,20200401,train
Facades,F27,42e60c523e459e862e0d8bed8e27c061,20200213,20200219,train
Facades,F186,5c1ae1c6d2a42b332453146940525375,20201105,20201111,test
Facades,F191,25ee2c321ffc32e9793e21ad5ec8ad6a,20201112,20201118,test
Biweekly,219,a1ac7bf65345bf650e66e96c462bbe60,20200514,20200527,train
Biweekly,223,42e60c523e459e862e0d8bed8e27c061,20200514,20200527,train
Seasonal,186,18f4fab9101aa8888110f4a1469c5614,20200413,20200525,train
Facades,F25,95d544e73c7ffd5e3a156d00d730a55d,20200213,20200219,train
Facades,F197,fccab66a80810c54b3b0f19bcdd0a6b9,20201126,20201202,test
Billboards,B17,99fb748535ba5e6c2cf111f49cf47642,20200220,20200304,train
Seasonal,160,7b5cd6d995f8fc0f87afaed453bc32f5,20200512,20200601,train
Billboards,B86,08ce0a68eb1a8ab73ec2963ee8648609,20201029,20201111,test
Billboards,B96,b5a6bbeeb9ef82b186e0479701dbadf5,20201203,20201209,test
Billboards,B99,1044f2ccb8604c26f81a4c7e999bdc76,20201126,20201202,test
Billboards,B14,1044f2ccb8604c26f81a4c7e999bdc76,20200206,20200219,train
Billboards,B27,1044f2ccb8604c26f81a4c7e999bdc76,20200319,20200401,train
Facades,F161,112c00aab74071297b7687cc762b1167,20201008,20201014,test
Facades,F20,112c00aab74071297b7687cc762b1167,20200130,20200205,train
Facades,F183,52fb9bbfa42af6e9b2170769d83e2e4a,20201029,20201104,test
Facades,F192,47d1fb28b1f768f1ac6c51985b70efe7,20201119,20201125,test
Facades,F193,97283433637f774e1b567b2f4a91ff33,20201119,20201125,test
Biweekly,219,08ce0a68eb1a8ab73ec2963ee8648609,20200514,20200527,train
Seasonal,160,cc27973a615ffa7173cc5d7edd08c110,20200512,20200601,train
Facades,F6,2c178b67ee6f75a30f6cd61746281143,20200109,20200115,train
Facades,F42,5ee4a1fcd8b799b9ca80f3159416db39,20200312,20200318,train
Facades,F186,828f93a22d7aa985f873bf3c4246e621,20201105,20201111,test
Facades,F190,ad55c0fc274d19f22255fa7cb6a3597d,20201112,20201118,test
Biweekly,219,f2d80197e1708d192ed543b36da3f6b9,20200514,20200527,train
Billboards,B28,ad8965ec531edcc722a2d6d0080312c5,20200402,20200415,train
Facades,F172,3bf8c857dff62338a28e6e92a73f0495,20201015,20201021,test
Facades,F11,ad8965ec531edcc722a2d6d0080312c5,20200116,20200122,train
Facades,F55,a587acfa209565d63fc03842c7f1344a,20200402,20200408,train
Facades,F187,2c22b0bb77d8cedbf134d07cc76b082f,20201112,20201118,test
Facades,F188,111fe2e1ccda30fbcd0b17d706ce2c8b,20201112,20201118,test
Seasonal,211,2c22b0bb77d8cedbf134d07cc76b082f,20200414,20200525,train
Billboards,B7,be035756ac47d83490858ecc56eec51e,20200116,20200122,train
Billboards,B12,be035756ac47d83490858ecc56eec51e,20200206,20200212,train
Facades,F162,67e304b4d255a34ec6faed8cbcbe889d,20201008,20201014,test
Facades,F163,1a36a82cdc5466ae3a3f1d105bba2186,20201008,20201014,test
Facades,F171,be035756ac47d83490858ecc56eec51e,20201015,20201021,test
Facades,F26,6907aa7b733ab2874e3b57a0c1ed5007,20200213,20200219,train
Facades,F5,2a7490d33b6b7108d1af8060b058edcd,20200109,20200115,train
Facades,F60,bbca25150db663602c55947a6031b391,20200416,20200422,train
Facades,F201,f32ed0f2bc2848aa7b7d7acf77409d6f,20201203,20201209,test
Biweekly,227,3e7cc6062ef459866c0e71f43f818fec,20200514,20200527,train
Biweekly,217,847c960da64a80500771a462e9c2dc15,20200514,20200527,train
Billboards,B87,911d7361089a37c2a6488a548b4f06a8,20201029,20201111,test
Facades,F163,c22d3fd47539692abd01bd03cd92fd9d,20201008,20201014,test
Facades,F30,4bd6a36d2865c70fd9a76604f15930db,20200220,20200226,train
Facades,F42,e557588067b9dfd79508fe140717d385,20200312,20200318,train
Facades,F50,22e3a5ef8b8369bef4dc7d280544054e,20200326,20200401,train
Facades,F54,911d7361089a37c2a6488a548b4f06a8,20200402,20200408,train
Facades,F196,911d7361089a37c2a6488a548b4f06a8,20201126,20201202,test
Facades,F200,911d7361089a37c2a6488a548b4f06a8,20201203,20201209,test
Billboards,B17,ebae2dec1bcb8b456f983d0747b8db2d,20200220,20200304,train
Facades,F30,b2f42bdb0f1873b2f7c00af8b40f91bd,20200220,20200226,train
Facades,F2,2d03403c138b4c047270215a16329379,20200102,20200108,train
Facades,F191,2d03403c138b4c047270215a16329379,20201112,20201118,test
Biweekly,224,2d03403c138b4c047270215a16329379,20200514,20200527,train
Billboards,B79,ef7bf412117548cb80b3f3b33a12977d,20201008,20201014,test
Billboards,B88,b21b050a4193d9ddc45c16490954b182,20201105,20201111,test
Billboards,B95,ef7bf412117548cb80b3f3b33a12977d,20201203,20201209,test
Billboards,B98,ef7bf412117548cb80b3f3b33a12977d,20201126,20201202,test
Billboards,B100,ef7bf412117548cb80b3f3b33a12977d,20201217,20201223,test
Billboards,B15,33306ccd877e73c388652739869d3dc7,20200213,20200219,train
Billboards,B18,ef7bf412117548cb80b3f3b33a12977d,20200220,20200304,train
Facades,F161,33306ccd877e73c388652739869d3dc7,20201008,20201014,test
Facades,F179,ef7bf412117548cb80b3f3b33a12977d,20201029,20201104,test
Facades,F20,33306ccd877e73c388652739869d3dc7,20200130,20200205,train
Facades,F1,33306ccd877e73c388652739869d3dc7,20200102,20200108,train
Facades,F183,e27bcea9a850278ad050dd25c21dd299,20201029,20201104,test
Facades,F192,33306ccd877e73c388652739869d3dc7,20201119,20201125,test
Billboards,B25,19c11c350454c5f74360791938d4d4ea,20200319,20200401,train
Facades,F9,4864e245d32d97832a345deed72b5f82,20200116,20200122,train
Seasonal,159,c208ade58f632c2d28c8dbd17d955c3f,20200512,20200601,train
Facades,F50,6d805bb912c47646696fbe1050a56614,20200326,20200401,train
Facades,F59,5950ffb52d2c06b1c932ca37bfbc07f1,20200409,20200415,train
Billboards,B82,9a4ee668b129c6a51cd1710b33c24e82,20201015,20201028,test
Billboards,B86,18e3b76750cbe1218e50a3dbb6caa123,20201029,20201111,test
